epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.366,0.36781,0.83503,0.94386,0.99798,0.99725,0.99498,0.99314,0.2008,0.21565,1.02415,0.00332743,0.00332743,0.00332743
2,711.108,0.25009,0.27519,0.8221,0.99902,0.99808,0.99497,0.99399,0.17071,0.19237,1.02261,0.00659483,0.00659483,0.00659483
3,1059.8,0.25665,0.25391,0.8204,0.99903,0.99785,0.99493,0.99358,0.17421,0.18615,1.0105,0.00979622,0.00979622,0.00979622
4,1407.5,0.22021,0.22553,0.81147,0.97666,0.9928,0.98945,0.98707,0.1677,0.22976,0.99515,0.009703,0.009703,0.009703
5,1754.82,0.18413,0.19452,0.80204,0.99887,0.999,0.99494,0.99419,0.1109,0.13271,0.99692,0.009604,0.009604,0.009604
6,2102.2,0.16206,0.17767,0.79798,0.99944,0.99817,0.995,0.99437,0.10683,0.10479,0.97919,0.009505,0.009505,0.009505
7,2449.72,0.14774,0.16739,0.79416,0.99801,0.99852,0.99498,0.99425,0.10468,0.12749,0.98211,0.009406,0.009406,0.009406
8,2796.84,0.13778,0.1593,0.792,0.99915,0.99903,0.995,0.99451,0.08506,0.09585,0.97119,0.009307,0.009307,0.009307
9,3144.2,0.13121,0.15448,0.79056,0.99859,0.9987,0.995,0.99438,0.08343,0.09899,0.96933,0.009208,0.009208,0.009208
10,3491.32,0.125,0.14835,0.78853,0.99908,0.99886,0.995,0.99445,0.07964,0.09131,0.96821,0.009109,0.009109,0.009109
11,3838.02,0.11939,0.14229,0.78918,0.99935,0.99955,0.995,0.99442,0.07469,0.09483,0.96672,0.00901,0.00901,0.00901
12,4184.92,0.11526,0.13936,0.78766,0.99951,0.99846,0.995,0.99429,0.09835,0.10083,0.96976,0.008911,0.008911,0.008911
13,4531.64,0.11156,0.13658,0.78852,0.99853,0.99959,0.995,0.99437,0.07373,0.08496,0.96932,0.008812,0.008812,0.008812
14,4878.72,0.10791,0.13207,0.78568,0.99948,0.99896,0.995,0.99446,0.06661,0.07824,0.96778,0.008713,0.008713,0.008713
15,5225.79,0.10417,0.12748,0.78485,0.99928,0.99885,0.995,0.99449,0.06297,0.08734,0.96647,0.008614,0.008614,0.008614
16,5572.77,0.1017,0.12526,0.78615,0.99946,0.99972,0.995,0.99452,0.06814,0.07936,0.96525,0.008515,0.008515,0.008515
17,5919.44,0.09903,0.12213,0.78426,0.99944,0.99932,0.995,0.99441,0.06356,0.07326,0.96559,0.008416,0.008416,0.008416
18,6266.35,0.09694,0.11997,0.78508,0.99937,0.99975,0.995,0.99305,0.05969,0.06999,0.96535,0.008317,0.008317,0.008317
19,6613.05,0.0955,0.12011,0.78382,0.9996,0.99873,0.995,0.99459,0.05771,0.06659,0.96332,0.008218,0.008218,0.008218
20,6960.08,0.09398,0.11799,0.78474,0.99955,0.99917,0.995,0.99443,0.05718,0.06965,0.96698,0.008119,0.008119,0.008119
21,7306.99,0.09136,0.11426,0.78379,0.99926,0.99941,0.995,0.99455,0.05393,0.06345,0.96219,0.00802,0.00802,0.00802
22,7653.98,0.09026,0.11349,0.78411,0.99917,0.99936,0.995,0.99458,0.05601,0.06139,0.96126,0.007921,0.007921,0.007921
23,8000.79,0.08748,0.11018,0.78232,0.99933,0.99931,0.995,0.99462,0.05305,0.05549,0.96186,0.007822,0.007822,0.007822
24,8348.07,0.08736,0.10938,0.78175,0.99971,0.99951,0.995,0.99451,0.05642,0.08517,0.96377,0.007723,0.007723,0.007723
25,8695.4,0.08615,0.1103,0.78135,0.99825,0.99951,0.99499,0.99436,0.05464,0.07022,0.9649,0.007624,0.007624,0.007624
26,9042.24,0.08588,0.11013,0.78243,0.99942,0.99891,0.995,0.99452,0.05284,0.06032,0.96364,0.007525,0.007525,0.007525
27,9389.24,0.08434,0.10838,0.78271,0.99919,0.99896,0.995,0.99467,0.05395,0.0618,0.96132,0.007426,0.007426,0.007426
28,9736.35,0.08232,0.10486,0.78232,0.99952,0.99946,0.995,0.99451,0.05498,0.05763,0.96344,0.007327,0.007327,0.007327
29,10083.5,0.08034,0.10491,0.78299,0.99951,0.99914,0.995,0.99452,0.04991,0.05386,0.9617,0.007228,0.007228,0.007228
30,10430.3,0.0794,0.10175,0.78173,0.99942,0.99962,0.995,0.9946,0.04751,0.04961,0.96117,0.007129,0.007129,0.007129
31,10777.7,0.07896,0.10193,0.78147,0.99923,0.99965,0.995,0.99457,0.05063,0.05618,0.96302,0.00703,0.00703,0.00703
32,11125,0.07811,0.10056,0.7821,0.99985,0.99971,0.995,0.99465,0.04914,0.04382,0.96101,0.006931,0.006931,0.006931
33,11471.9,0.07647,0.09917,0.78343,0.99982,0.99957,0.995,0.9946,0.04528,0.0468,0.96172,0.006832,0.006832,0.006832
34,11818.8,0.07675,0.09838,0.7822,0.99919,0.99855,0.995,0.99471,0.0458,0.04364,0.96138,0.006733,0.006733,0.006733
35,12166,0.07429,0.09724,0.7805,0.99977,0.9996,0.995,0.99474,0.04609,0.04531,0.96269,0.006634,0.006634,0.006634
36,12513.4,0.07506,0.09695,0.78099,0.99987,0.99928,0.995,0.99462,0.04826,0.04656,0.96141,0.006535,0.006535,0.006535
37,12860.4,0.07466,0.09695,0.77976,0.99929,0.99946,0.995,0.99453,0.04855,0.04765,0.96144,0.006436,0.006436,0.006436
38,13207.4,0.07396,0.0945,0.77947,0.99935,0.99906,0.995,0.99465,0.04977,0.05267,0.96353,0.006337,0.006337,0.006337
39,13554.6,0.0717,0.09504,0.78005,0.99938,0.99946,0.995,0.99464,0.04575,0.04468,0.96182,0.006238,0.006238,0.006238
40,13901.7,0.07143,0.09294,0.78009,0.99924,0.99973,0.995,0.99462,0.04876,0.05371,0.9625,0.006139,0.006139,0.006139
41,14249.3,0.07152,0.09568,0.77926,0.99962,0.99968,0.995,0.99466,0.04904,0.04137,0.96391,0.00604,0.00604,0.00604
42,14597,0.07156,0.09551,0.77913,0.99982,0.9996,0.995,0.99468,0.0452,0.04088,0.96048,0.005941,0.005941,0.005941
43,14944.6,0.07076,0.0946,0.78024,0.99929,0.99977,0.995,0.99473,0.0458,0.03823,0.96084,0.005842,0.005842,0.005842
